_id,days,destinations,itinerary,nights,price,themes,titleText
64149e0c9aef4889404c4d10,4,Munnar (2N) - Thekkady (1N) - Alleppey (1N),"Detailed Day Wise ItineraryDay 1 - Arrive in Cochin | Drive from Cochin to Munnar (135 km/approx. 5 hours)Arrive in Cochin and drive to Munnar.Upon arrival in Munnar, check-in to the hotel. Day is at leisure. Overnight at the hotel.Day 2 - Sightseeing in MunnarAfter breakfast procced for sightseeing tour of Munnar.After breakfast, take a sightseeing tour of Munnar visiting the Eravikulam National Park, Mattupetty Dam, Old Munnar Town and the town market. Enjoy rest of the day at leisure.Overnight at the hotel.Day 3 - Drive from Munnar to Thekkady (130 km/approx. 4 hours)After breakfast drive to Thekkady (Periyar).Located on the Western Ghats, Thekkady is famous for its natural reserves and spice plantations.The region is an abode to varied animal species, including tiger, elephants, spotted deer, langur, sambar and wild boar. A tour of Kerala is incomplete without visiting this place that offers ample opportunities for leisure activities like a boat ride on the Periyar Lake, excursion to Periyar National Park and visit to spice plantations. Upon arrival, check-in at the hotel. Explore the famous site of spice plantations (Charges applicable), which will revive your mind with its serenity and aroma of different spices, such as pepper, vanilla, cinnamon and nutmeg.Overnight at the hotel.Day 4 - Drive from Thekkady to Alleppey (160 km/approx. 4 hours)After breakfast drive to Alleppey – the Venice of the East.Alleppey, also referred to as Alappuzha, is among the oldest planned towns in the region. Famous for houseboat cruise, boat races, clear beaches and marine products, this place is a world-famous backwater holiday destination. Some of the most popular tourist attractions of this serene land are the Alappuzha Beach, Mullakkal Temple, CSI Christ Church, old lighthouse, Punnamada Lake.Upon arrival, check into the hotel and enjoy rest of the day at leisure or take an optional cruise on the backwaters.Overnight at the hotel.Day 5 - Depart from CochinAfter breakfast drive to the Cochin Airport to board the flight for your onward journey.Tour Ends.MoreLess",5,10999,"Student, Shopping, Family & Kids, Family, Hill Stations, ",4 nights -Munnar-Thekkady-Alleppey
64149e119aef4889404c4d12,2,Katra (2N),"Detailed Day Wise ItineraryDay 1 - Jammu - Udhampur KatraOur services will start with your arrival at Jammu Tawi Railway Station / airport. Our representative will meet you and transfer to Katra. Check in at the hotel and spend the rest of the day at leisure, either relaxing or exploring some places of interest such as the Nau Devi Temple, Bhairo Baba Temple, Bhimgarh Fort and Dera Baba Banda (leisure activities are not included in the package). Then stay overnight in Katra.Day 2 - Katra - Vaishno Devi - Katra (14 km trek one way)After an early breakfast, you will start your journey towards Mata Vaishno Devi Temple, situated at the Trikuta Mountain Peak at an elevation of about 5,200 feet. You can hire ponies and palkies from Banganga (at your own cost) to reach the temple. After puja, aarti and darshan, you will return to Katra by late evening and rest the night away in Katra.Day 3 - DepartureHave breakfast and spend some leisurely time till departure. Then check out from the hotel and drive to Jammu railway station / airport for your return journey.MoreLess",3,3999,"Religious Tours, Bestseller, Sightseeing, ",Vaishno Devi Darshan
64149e179aef4889404c4d14,3,Kathmandu (3N),"Detailed Day Wise ItineraryDay 1 - Arrival in KathmanduOn landing at Tribhuvan International Airport, meet a Yatra representative and drive to the hotel.Kathmandu – the capital city of Nepal – is a treasure chest of architectural marvels, informative museums and revered religious sites. Its location between the Shivalik and the Great Himalayan Ranges, and its moderate altitude bestows it with a pleasant weather pattern for most of the year.After check-in at the hotel, enjoy the rest of the day at leisure and then stay overnight.Day 2 - Half Day Sightseeing in KathmanduPost a scrumptious breakfast, embark on an extensive sightseeing tour of this culturally rich city. Begin by travelling through Kathmandu, admiring its architecture and if possible, interacting with the locals. Thereafter, explore Pashupatinath, Boudhanath.Pashupatinath Temple, which is one of the most revered shrines of the Hindus. Located on the banks of the Bagmati River, this temple is dedicated to Lord Shiva. This holy shrine has been listed as a UNESCO World Heritage Site.Boudhanath is a giant, almost-spherical stupa, located in the north-western part of the city. There are various myths about its origin, and it is widely believed that it was constructed sometime after the death of Lord Buddha. The whole structure consists of a three-stepped 16-sided platform and a white dome atop it, crowned by a small golden pyramid.Following this incredible spiritual excursion, return to the hotel and take rest. Overnight at the hotel.Day 3 - Half Day Sightseeing in KathmanduAfter breakfast, enjoy a Half Day city tour of Kathmandu (03 Hrs), visiting Swayambhunath, temple of the living Goddess and stroll through the old Durbar Square. The rest of the evening is free to enjoy exploring the markets, pubs and casinos on own.Overnight at the hotel.Day 4 - Depart KathmanduAfter breakfast, you will be taken to the Kathmandu airport to board your return flight. Tour Ends.MoreLess",4,7999,"Shopping, Family, Bestseller, Sightseeing, ",3 Nights in Kathmandu with Amadablam Hotel
64149e1e9aef4889404c4d16,4,Manali (4N),"Detailed Day Wise ItineraryDay 1 - New Delhi to Manali 570 Km / 12 HourArrive at Volvo pickup point in Delhi at 6:00 PM and then transfer to Manali. Overnight journey for Manali.Day 2 - Manali Local SightseeingMorning reach at Manali, transfer to the hotel. Check in at Hotel after relax and fresh up later proceed for Manali sightseeing indulge in adventurous activities like mountaineering, rock-climbing, hiking and trekking. Visit Hadimba Devi Temple and Vashist Hot Water Spring. Dinner and overnight stay at Hotel in Manali.Day 3 - Atal Tunnel, Sisu Valley and Solang Valley SightseeingAfter breakfast proceed for Solang valley sightseeing. Solang valley is beautiful and scenic place famous for adventure activities. Solang valley covered with snow at winter time. Rohtang Pass / Snow Point Sightseeing at own cost. Also visit the famous Atal tunnel.Evening back to Manali. Dinner and overnight stay at Hotel in Manali.Day 4 - Manali to New Delhi (570 Km / 12 hours)Enjoy morning breakfast at hotel and check out from hotel. Day at leisure on your own. Evening pick-up from the Hotel and transfer to Volvo stand. Board the Volvo for overnight journey to New Delhi.Day 5 - Reach DelhiArrive Delhi in morning with beautiful memories.MoreLess",5,4999,"Romantic, Adventure, Honeymoon, Weekend Trips, Family, ",Mesmerising Manali With Atal Tunnel
64149e259aef4889404c4d18,4,Delhi (1N) - Manali (3N),"Detailed Day Wise ItineraryDay 1 - Delhi - Manali Volvo (Overnight)Overnight Journey Delhi to Manali.Day 2 - ManaliUpon arrival in Manali, check-in at the hotel. Later in the afternoon, proceed on a half-day city tour and visit the Hidimba Devi Temple, Vashist Hot Water Springs, Van Vihar, Hongkong Market and the Tibetan Monastery. Explore the Shopping malls of Manali and enjoy dinner and overnight stay at the hotel.Day 3 - ManaliEnjoy a hearty breakfast at the hotel and later get ready for an excursion to Solang Valley which is a picturesque setting. Indulge in some adventure sports like Snow Scooter, Skiing, Parachuting, Paragliding, and Zorbing at Solong. In the evening, return to the hotel in time for dinner and overnight stay.Day 4 - ManaliAfter a hearty breakfast set out on an excursion to Kullu and Manikaran. Enjoy rafting on the Beas River and en route, visit the Kullu Market, Kullu Shawl Factory, sale outlets, Angora Farm, Vaishno Mata Temple and the Parvati river. Return to Manali to explore the town on your own. Overnight at hotel.Day 5 - Manali - Delhi Volvo (Overnight)After a hearty breakfast. Board the overnight Volvo to reach Delhi.MoreLess",5,8599,"Family & Kids, Family, Hill Stations, Couple, Bestseller, ","Apple Bud Hotel, Manali - Volvo Package"
64149e2a9aef4889404c4d1a,4,Dehradun (4N),"Detailed Day Wise ItineraryDay 1 - Arrive in Dehradun/SankriArrive at Dehradun ISBT on your own and take transport to Sankri (extra cost for transportation - INR 1500+GST). The drive is rather long but extremely scenic as you will see beautiful valleys and quaint villages throughout the route. You will pass through Mussoorie, Purola, Mora, and Netwar while following the Tons River as well. On arrival at Sankri, check in at your accommodation and rest. Later, a briefing session will be conducted. Have dinner and stay overnight.Day 2 - Sankri to Juda Ka Talab (2772m)As soon as the morning unfolds, you will be guided for some stretching exercises as a warm-up for the trek. Post breakfast at around 8 AM, you will start on your trek to Juda Ka Talab, which is a high-altitude lake that serves as the first campsite on this expedition. You will hike through pine forest initially and then gradually climb a bit to the campsite. The camp is settled around a small pond, completely surrounded with pine and oak trees, and you will have a stunning view of snow-laden peaks as you settle in for the day. The fragrance and serenity of nature will completely rejuvenate you. Have dinner and stay overnight.Day 3 - Juda Ka Talab to Kedarkantha Base (3430m)Get up early in the morning to see the sunrise and watch the snow-peaks turn gold as the sunlight slowly washes over them. Then, have your breakfast and get ready to start the trek to Kedarkantha Peak base, which is the next campsite and would take around 4 hrs to reach. The trail again begins through pine and oak trees which get denser along the way. On reaching the base, you will be served hot lunch. Explore the area near the campsite, or just relax and marvel at nature's sheer beauty. Later, have an early dinner and stay overnight.Day 4 - Kedarkantha Base - Kedarkantha Top (3810m) - HargaonThe trek on the fourth day will be long, as you will hike for 7-8 hours up to the summit of Kedarkantha peak, and then descend to Hargaon. We will start early in the morning and will try to reach as high as we can before sunrise. The trail moves in a zigzag manner so staying with the group is extremely important. You will make it to the summit after trekking around 4 hours. After reaching the summit, you will be rewarded with breathtaking views of the Yamunotri and Gangotri ranges. Enjoy a hot lunch, and take some time to revel in the stunning beauty that surrounds you, before heading back to the next campsite. After reaching the base, we will take a short break and then begin our descent towards Hargaon. Reach the campsite and stay overnight.Day 5 - Hargaon to Sankri (1920m) // Drive to DehradoonThis morning you will begin to trek early, down towards Sankri. Start your day with a healthy breakfast and trek down back to Sankri on a well-marked trail of cobblestones. Your route will pass through thick forests of pine and maple trees, and you will have splendid views of the Har ki Doon valley. The descent is steep on some stretches so you will need to stay cautious. Arrive in Sankri in the evening and board the vehicle to drive to Dehradoon. Reach Dehradun in the evening after traveling for 9-10 hours.MoreLess",5,4999,"Adventure, Trekking, Camping, ",Kedarkantha Trek Uttarakhand
64149e319aef4889404c4d1c,4,Delhi (1N) - Manali (3N),"Detailed Day Wise ItineraryDay 1 - Delhi - Manali Volvo (Overnight)Overnight Journey Delhi to Manali.Day 2 - ManaliUpon arrival in Manali, check-in at the hotel. Later in the afternoon, proceed on a half-day city tour and visit the Hidimba Devi Temple, Vashist Hot Water Springs, Van Vihar, Hongkong Market and the Tibetan Monastery. Explore the Shopping malls of Manali and enjoy dinner and overnight stay at the hotel.Day 3 - ManaliEnjoy a hearty breakfast at the hotel and later get ready for an excursion to Solang Valley which is a picturesque setting. Indulge in some adventure sports like Snow Scooter, Skiing, Parachuting, Paragliding, and Zorbing at Solong. In the evening, return to the hotel in time for dinner and overnight stay.Day 4 - ManaliAfter a hearty breakfast set out on an excursion to Kullu and Manikaran. Enjoy rafting on the Beas River and en route, visit the Kullu Market, Kullu Shawl Factory, sale outlets, Angora Farm, Vaishno Mata Temple and the Parvati river. Return to Manali to explore the town on your own. Overnight at hotel.Day 5 - Manali - Delhi Volvo (Overnight)After a hearty breakfast. Board the overnight Volvo to reach Delhi.MoreLess",5,8999,"Family & Kids, Family, Hill Stations, Couple, Bestseller, ",The AshaPuri Residency Manali - Volvo Package
64149e389aef4889404c4d1e,5,Manali (5N),"Detailed Day Wise ItineraryDay 1 - New Delhi  to Manali 570 Km / 12 HourArrive at Volvo pickup point in Delhi at 6:00 PM and then transfer to Manali. Overnight journey for Manali.Day 2 - Manali Local SightseeingMorning reach at Manali, transfer to the hotel. Check in at Hotel after relax and fresh up later proceed for Manali sightseeing indulge in adventurous activities like mountaineering, rock-climbing, hiking and trekking. Visit Hadimba Devi Temple and Vashist Hot Water Spring. Dinner and overnight stay at Hotel in Manali.Day 3 - Solang Valley SightseeingAfter breakfast proceed for Solang valley sightseeing. Solang valley is beautiful and scenic place famous for adventure activities. Solang valley covered with snow at winter time. Rohtang Pass / Snow Point Sightseeing at own cost. Evening back to Manali. Dinner and overnight stay at Hotel in Manali.Day 4 - Kullu and Naggar Valley SightseeingAfter breakfast proceed for Kullu Valley sightseeing along with Nagar Castle. Enjoy river rafting in Beas River on extra payment basis. Evening return to Manali. Dinner and overnight stay at hotel in Manali.Day 5 - Manali to New Delhi (570 Km / 12 hours)Enjoy morning breakfast at hotel and check out from hotel. Day at leisure on your own. Evening pick-up from the Hotel and transfer to Volvo stand. Board the Volvo for overnight journey to New Delhi.Day 6 - Reach DelhiArrive Delhi in morning with beautiful memories.MoreLess",6,5499,"Romantic, Honeymoon, Weekend Trips, Family, Sightseeing, ",Graceful Manali
64149e3e9aef4889404c4d20,4,Delhi (1N) - Agra (1N) - Jaipur (2N),"Detailed Day Wise ItineraryDay 1 - Arrival in DelhiArrival at New Delhi Airport/Railway Station and transfer to your hotel of stay. Check-in at your pre-booked hotelIn the afternoon, you will be taken on a half-day city tour of Delhi. Visit the historical sites of the city such as Qutab Minar, India Gate (War Memorial), a drive past Rashtrapati Bhawan (President’s Estate). After sightseeing in the city, return to your hotel and spend the night.Day 2 - Delhi ��� Agra (200 KM / approx 4 Hours)After breakfast in the hotel, set out on a half-day tour of Old Delhi which includes visits to Raj Ghat and Shanti Van (cremation sites of Mahatma Gandhi and Jawaharlal Nehru respectively), Jama Masjid, and a drive past Red Fort and Chandni Chowk – a traditional shopping hub.In the afternoon, drive to Agra. On arrival, check-in at a pre-booked hotel. You are at leisure for the rest of the evening to explore around at your pace. Spend the night at your hotel.Day 3 - Agra ��� Jaipur (230 KM / approx 5-6 Hrs)After breakfast, take a Taj Mahal built by Mughal Emperor Shahjahan in 1630 to enshrine the mortal remains of his Queen Mumtaz Mahal (Taj Mahal is closed on Fridays). (Entry Ticket to be paid directly)In the afternoon, leave for Jaipur visiting Fatehpur Sikri en route. Fatehpur Sikri was built by Emperor Akbar in 1569 and abandoned after 15 years due to scarcity of water. See the graceful buildings including Jama Masjid, Tomb of Salim Chishti, Panch Mahal and other palaces. You will travel about 232 kilometers (approx. 5-hour drive) from Agra. On arrival in Jaipur, check-in at a pre-booked hotel for your overnight stay.Day 4 - JaipurAfter breakfast, proceed on a full-day sightseeing tour of Jaipur. Tour the Amber Fort - the capital of the state till 1728. Visit Jagmandir or the Hall of Victory that glitters with thousand mirrors, Jal Mahal and Temples of Kali. Enjoy an elephant ride on your ascent to Amber Fort and behold panoramic views of the city along the way.In the afternoon, visit the Maharaja’s City Palace and Jantar Mantar, drive past Hawa Mahal or The Palace of Winds and past the rose-pink residential and business quarters of Jaipur. After a day of sightseeing and discovering the different colors of Jaipur, return to your hotel and spend the night.Day 5 - Jaipur ��� Delhi (250 KM / approx 5-6 Hrs)After an early breakfast at the hotel, leave for Delhi about 258 kilometers (approx. 5-hour drive) from Jaipur. Upon arrival in Delhi, you will be transferred to the airport for your onward journeyMoreLess",5,15999,"Most Popular, Affordable, Winter Special, Bestseller, Hdfc, ",4 Nights - Golden Triangle
64149e459aef4889404c4d22,3,Manali (3N),"Detailed Day Wise ItineraryDay 1 - Delhi to Manali Approx. 580 Kms 11 to 12 hrsArrive in Delhi by Air or Train. After reaching in Delhi go to Ramakrishna Ashram Metro Station on your own at 5:30 PM. At sharp 6:00 Depart from Delhi to Manali. Travel by overnight Volvo bus from Delhi to Manali 12 to 14 Hours.Volvo Facilities AC Semi Sleeper I Push Back seats I Thigh Rests I Water Bottles I Blankets.Day 2 - Arrival In Manali and Local City Tour  3 to 4HrsReach Manali meet our representative at Manali Volvo Stand and get transferred to the hotel. After freshening up proceed to half day city tour of Manali which includes the Hadimba Devi Temple I Vashisht I Tibetan Monastery and the Club House.  Later in the evening explore the Shopping Malls Mall Road and IBEX Market of Manali. Dinner and Overnight.Day 3 - Full day Trip to Solang Valley I Rothang PassAfter breakfast visit the Solang Valley thats famous for its natural beauty and adventure sports. On can enjoy paragliding I zorbing I snow scooter I horse riding and ropeway ride. Cost not included. Later back to the hotel for dinner and overnight stay.orChoose to do an excursion to Rohtang Pass Uptill the Snow Point Pls note Rohtang Pass is closed on Tuesday and shall remain closed if a natural calamity like landslide Snowfall strike. Post breakfast, excursion to Rohtang Pass which is situated at an altitude of 3979 meters above the sea level. Also visit Kothi Gorge I Marhi and Gulaba. The evening is at leisure overnight in the hotel. Kindly note that only limited number of vehicles are allowed in Rohtang Pass from effect from 18th May 2016 due to restrictions append by NGT vehicles. Any arrangement to Rohtang Pass will be payable directly by guest on getting permission only. If the client wants to go to Rohtang, then they can pay the difference amount and go to Rohtang because it not included in the tour.Day 4 - Sightseeing and DeparturePost a hearty breakfast you will be picked up from the hotel the and transferred to Manikaran. This place is famous for hot Sulphur Springs revered by both Hindus and Sikhs pilgrimages. The water of the spring is also said to be radio active which cures many skin diseases. According to an ancient saying Manikaran is also connected with Lord Shiva and his divine concert Goddess Parvati. On the way also visit Kasol Valley I Vaishno Temple I Kullu Shawl factory. In the evening catch the Volvo from Manali at 4.00 PM to proceed to Delhi. Overnight  journey.MoreLess",4,5650,"River Rafting, Romantic, Hill Station, Honeymoon, ",Misty Manali
